"";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10"
"X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"vecSplitted";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.1";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.2";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.3";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.4";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.5";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.6";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.7";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.8";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.9";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.10";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.11";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.12";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.13";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.14";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.15";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.16";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.17";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.18";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.19";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.20";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.21";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.22";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.23";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.24";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.25";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.26";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.27";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.28";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.29";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.30";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.31";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.32";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.33";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.34";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.35";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.36";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.37";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.38";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.39";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.40";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.41";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.42";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.43";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.44";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.45";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.46";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
"vecSplitted.47";"M";"56714";"53045";"465";"55.0";"0.0";"0.0";"1006";"2023-09-28";"15:27:49"
